apk_name,status,leaks_found,sources_found,sinks_found,callgraph_time_sec,dataflow_time_sec,result_time_sec,total_time_sec,peak_memory_gb,exit_code,timeout_reason,output_file
backflash,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.02,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/backflash_results.xml
beita_com_beita_contact,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/beita_com_beita_contact_results.xml
cajino_baidu,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
chat_hook,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/chat_hook_results.xml
chulia,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/chulia_results.xml
death_ring_materialflow,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
dsencrypt_samp,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/dsencrypt_samp_results.xml
exprespam,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/exprespam_results.xml
fakeappstore,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/fakeappstore_results.xml
fakebank_android_samp,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/fakebank_android_samp_results.xml
fakedaum,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/fakedaum_results.xml
fakemart,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/fakemart_results.xml
fakeplay,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/fakeplay_results.xml
faketaobao,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/faketaobao_results.xml
godwon_samp,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/godwon_samp_results.xml
hummingbad_android_samp,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
jollyserv,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
overlay_android_samp,SUCCESS,N/A,N/A,N/A,N/A,N/A,N/A,0.01,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1811-39apps-max-precision/overlay_android_samp_results.xml
