apk_name,status,leaks_found,sources_found,sinks_found,callgraph_time_sec,dataflow_time_sec,result_time_sec,total_time_sec,peak_memory_gb,exit_code,timeout_reason,output_file
backflash,SUCCESS,31,105,28,0,1,N/A,3.73,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/backflash_results.xml
beita_com_beita_contact,SUCCESS,31,47,45,0,1,N/A,2.88,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/beita_com_beita_contact_results.xml
cajino_baidu,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
chat_hook,SUCCESS,16,29,64,0,1,N/A,2.87,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/chat_hook_results.xml
chulia,SUCCESS,6,29,26,0,1,N/A,2.92,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/chulia_results.xml
death_ring_materialflow,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
dsencrypt_samp,SUCCESS,4,4,7,0,1,N/A,1.96,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/dsencrypt_samp_results.xml
exprespam,SUCCESS,1,9,1,0,1,N/A,1.91,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/exprespam_results.xml
fakeappstore,SUCCESS,15,39,34,0,2,N/A,3.68,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/fakeappstore_results.xml
fakebank_android_samp,SUCCESS,12,215,92,0,2,N/A,4.53,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/fakebank_android_samp_results.xml
fakedaum,SUCCESS,11,29,20,0,1,N/A,3.72,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1833-39apps-no-exception-no-static/fakedaum_results.xml
