apk_name,status,leaks_found,sources_found,sinks_found,callgraph_time_sec,dataflow_time_sec,result_time_sec,total_time_sec,peak_memory_gb,exit_code,timeout_reason,output_file
backflash,SUCCESS,32,105,28,0,1,N/A,2.47,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/backflash_results.xml
beita_com_beita_contact,SUCCESS,33,47,45,0,1,N/A,2.68,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/beita_com_beita_contact_results.xml
cajino_baidu,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
chat_hook,SUCCESS,20,29,64,0,1,N/A,2.63,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/chat_hook_results.xml
chulia,SUCCESS,6,29,26,0,1,N/A,2.61,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/chulia_results.xml
death_ring_materialflow,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
dsencrypt_samp,SUCCESS,4,4,7,0,1,N/A,2.04,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/dsencrypt_samp_results.xml
exprespam,SUCCESS,1,9,1,0,1,N/A,1.99,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/exprespam_results.xml
fakeappstore,SUCCESS,15,39,34,0,8,N/A,10.96,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/fakeappstore_results.xml
fakebank_android_samp,SUCCESS,51,215,92,0,4,N/A,6.43,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/fakebank_android_samp_results.xml
fakedaum,SUCCESS,11,29,20,0,1,N/A,4.04,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/fakedaum_results.xml
fakemart,SUCCESS,2,7,5,0,1,N/A,2.54,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/fakemart_results.xml
fakeplay,SUCCESS,5,38,15,0,1,N/A,3.71,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/fakeplay_results.xml
faketaobao,SUCCESS,5,14,6,0,1,N/A,2.53,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/faketaobao_results.xml
godwon_samp,SUCCESS,0,N/A,N/A,0,0,N/A,1.53,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/godwon_samp_results.xml
hummingbad_android_samp,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
jollyserv,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
overlay_android_samp,SUCCESS,5,70,15,0,190,N/A,194.31,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/overlay_android_samp_results.xml
overlaylocker2_android_samp,SUCCESS,8,26,28,0,0,N/A,1.47,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/overlaylocker2_android_samp_results.xml
phospy,SUCCESS,9,12,19,0,1,N/A,2.22,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/phospy_results.xml
proxy_samp,SUCCESS,11,37,34,0,1,N/A,1.27,N/A,0,,/home/zym/LDFA-dataset/TaintBench/output/20260211-1837-39apps-no-exceptions/proxy_samp_results.xml
remote_control_smack,SKIPPED,0,0,0,0,0,0,0,0,0,BLACKLISTED,
